标题,链接,时间
中国股市的转型牛正在形成，A50ETF华宝（159596）盘中震荡迎布局窗口,https://finance.sina.com.cn/money/fund/etf/2024-12-13/doc-inczhtrv2904117.shtml,12-13 11:49
中国船舶租赁现涨超4% 近日与广西文船及黄埔文冲船舶签订租赁协议,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrz6047745.shtml,12-13 11:45
12月13日共1只基金首发募集,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9272398.shtml,12-13 11:44
余承东开通抖音账号：一夜涨粉超40万,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6049915.shtml,12-13 11:42
首个省级金融消保监管联动指引出炉，山东金监局：八类情形重点关注，行动不力可采取措施,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6048096.shtml,12-13 11:41
如果明年18A芯片生产失败，英特尔可能分拆芯片制造业务,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9272012.shtml,12-13 11:39
午评：集运指数涨超5% 焦炭跌超2%,https://finance.sina.com.cn/money/future/fmnews/2024-12-13/doc-inczhtrv2898443.shtml,12-13 11:36
海昌海洋公园早盘逆市涨近7% 月内股价累涨超五成,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrv2898051.shtml,12-13 11:35
谷歌联手三星推出全新操作系统Android XR 首款头显产品将于明年上市,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-13/doc-inczhtrx9268267.shtml,12-13 11:35
日元短暂跌破1美元兑153关口，为11月27日以来首次,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9266630.shtml,12-13 11:34
被百度发现70亿元“烂账窟窿”？还原董事会内幕：“极越的崩盘，早已注定”,https://finance.sina.com.cn/stock/relnews/us/2024-12-13/doc-inczhtrz6045136.shtml,12-13 11:34
百万“见面礼”！亚马逊创始人向特朗普就职基金捐赠一百万美元,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6044511.shtml,12-13 11:34
官宣！一地取消公摊,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6055674.shtml,12-13 11:33
白重恩：增加居民消费，服务业要做优做强做大,https://finance.sina.com.cn/meeting/2024-12-13/doc-inczhtrt6123051.shtml,12-13 11:33
白重恩：“投资是积累，消费是消耗”是一种思维定式,https://finance.sina.com.cn/meeting/2024-12-13/doc-inczhtrt6122476.shtml,12-13 11:32
白重恩：特殊情况之下，短期突破赤字和债务上线可能帮助解决长期问题,https://finance.sina.com.cn/meeting/2024-12-13/doc-inczhtrz6041792.shtml,12-13 11:32
海康威视与多方共同签署合作协议，携手推进渔业场景数字化,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6045157.shtml,12-13 11:31
比特币最好占投资组合多少？全球最大资管公司建议：2%以内！,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9267229.shtml,12-13 11:31
协会专家顾问工作委员会2024年度第四季度会议顺利召开,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9272022.shtml,12-13 11:30
午评：指数调整沪指半日跌1.49% 豆包概念股早盘强势,https://finance.sina.com.cn/zxg/zxjx/2024-12-13/doc-inczhtrt6120805.shtml,12-13 11:30
南方小土豆又要出发了？ 冰雪产业板块异动拉升 政策密集出台,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9263415.shtml,12-13 11:29
谋杀案引发行业大变革：美国国会拟议法案欲打破医疗保险垄断,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6044283.shtml,12-13 11:28
大摩：予兖煤澳大利亚“增持”评级 目标价上调至39.93港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-13/doc-inczhtrz6038980.shtml,12-13 11:26
港股黑芝麻智能一度涨超20%,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9261730.shtml,12-13 11:26
2024年全国制造业百强县（市）榜单发布：昆山排名第二，谁夺得了头筹,https://finance.sina.com.cn/stock/wbstock/2024-12-13/doc-inczhtrx9261772.shtml,12-13 11:25
大摩：维持中信证券“与大市同步”评级 目标价21.2港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-13/doc-inczhtrz6037768.shtml,12-13 11:24
发生了什么？黄金遭遇抛售，较日高暴跌近50美元、一度失守2680,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6045965.shtml,12-13 11:24
FX168日报:特朗普大消息！希望上任首日引起轰动 金价惊人暴跌的原因找到了 日本央行报道打击日元,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9268827.shtml,12-13 11:24
部分手机产业链股逆市走高 丘钛科技涨超3%舜宇光学涨超2%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrv2892486.shtml,12-13 11:23
中房报：超重磅定调！更大力度稳楼市政策来了,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9261193.shtml,12-13 11:22
交银国际：首予置富产业信托“买入”评级 目标价5.86港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-13/doc-inczhtrv2891289.shtml,12-13 11:21
港股房地产股集体下挫 融信中国跌超9%,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9259645.shtml,12-13 11:21
中泰国际：维持信义光能“中性”评级 目标价降至3.22港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-13/doc-inczhtrt6116121.shtml,12-13 11:20
支付宝开卖加密货币基金？原为华宝基金一产品间接投资，已暂停申购,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6046718.shtml,12-13 11:20
医渡科技早盘涨逾6% 光大证券维持“买入”评级,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrv2890420.shtml,12-13 11:19
洛阳利尔总经理刘雷参加数字化转型专题培训班分享企业经验,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9258589.shtml,12-13 11:19
港股内房股集体下挫，融信中国跌超9%,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6035596.shtml,12-13 11:18
某省运营商计划减员2336人，减员比例11%,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6035796.shtml,12-13 11:18
邬贺铨：只要成本下来，马斯克预言未来人形机器人数量会超过全球人口数,https://finance.sina.com.cn/hy/hyjz/2024-12-13/doc-inczhtrx9257322.shtml,12-13 11:17
《陕西省地方金融条例》解读,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6040157.shtml,12-13 11:15
如何解决我国可利用工业数据少的问题？邬贺铨：引入可信数据空间,https://finance.sina.com.cn/hy/hyjz/2024-12-13/doc-inczhtrx9254993.shtml,12-13 11:13
本田终止与通用的自动驾驶出租车合作,https://finance.sina.com.cn/stock/usstock/c/2024-12-13/doc-inczhxxr6023250.shtml,12-13 11:13
个人养老金制度推行将带来哪些影响？一文解读,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6038264.shtml,12-13 11:13
RockAI获评“2024上海最具投资潜力50佳创业企业”,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9255067.shtml,12-13 11:09
冀中能源集团召开物资集中采购暨数智供应链平台上线推进会,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9256490.shtml,12-13 11:07
中国银行业协会发布《养老金业务理论与实务（第二版）》,https://finance.sina.com.cn/jryx/bank/2024-12-13/doc-inczhtrv2882467.shtml,12-13 11:06
适当提高退休人员基本养老金、综合整治“内卷式”竞争……这一重磅会议以多组创新表述为明年经济工作定调,https://finance.sina.com.cn/stock/estate/integration/2024-12-13/doc-inczhtrt6119617.shtml,12-13 11:06
特朗普关税大棒惹各国人心惶惶！新西兰财长：求放过,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9250865.shtml,12-13 11:04
平安好医生早盘涨超8% 此前宣布派发特别股息,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrx9249650.shtml,12-13 11:03
30年国债活跃券利率下行至1.9999%,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6026726.shtml,12-13 11:02
暴跌99%后又涨超1000%，前河南首富财富依旧大幅缩水,https://finance.sina.com.cn/stock/wbstock/2024-12-13/doc-inczhtrz6028629.shtml,12-13 11:01
梦金园早盘涨逾9%创新高 较招股价已涨超20%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhtrv2879335.shtml,12-13 11:01
顺控发展组联合体以5.15亿元收购华新彩印，标的公司前8个月净利润110.93万元,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9248863.shtml,12-13 11:00
伟星股份：下半年接单较上半年增速逐渐回落 但总体仍保持增长,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9248195.shtml,12-13 10:58
汇丰正评估在英国及中国香港以外的零售银行业务,https://finance.sina.com.cn/stock/bxjj/2024-12-13/doc-inczhtrx9247812.shtml,12-13 10:57
特朗普集团拟在沙特利雅得兴建两个新项目 中东成业务拓展新方向,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9247395.shtml,12-13 10:55
特朗普在纽交所敲响开市钟 重申减税计划,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9248880.shtml,12-13 10:55
总投资191亿，国轩高科再建两座海外电池工厂,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrx9244955.shtml,12-13 10:49
长安民生物流12月13日上午9时正起短暂停牌,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-13/doc-inczhtrv2874264.shtml,12-13 10:47
北证50涨逾1%，华洋赛车30cm涨停,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhtrz6021233.shtml,12-13 10:47
华晨中国早盘逆市走高 股价现涨6.60%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhpiv6229727.shtml,12-13 10:45
当Meme币遇到社会热点：LUIGI上演“加密版罗宾汉”剧情,https://finance.sina.com.cn/blockchain/roll/2024-12-13/doc-inczhtrx9257345.shtml,12-13 10:43
美的集团进行工商变更 注册资本增加至76.56亿元,https://finance.sina.com.cn/stock/estate/integration/2024-12-13/doc-inczhtrz6021810.shtml,12-13 10:42
2024年银行IPO或又将“挂零”，排队数量缩至7家,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhpkc6150929.shtml,12-13 10:42
再传捷报！华兴证券荣膺资产证券化年会两项大奖｜兴 · 荣誉,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrx9248216.shtml,12-13 10:41
IBM携手高校业界合作伙伴 在芝加哥投资建设国家量子算法中心,https://finance.sina.com.cn/stock/usstock/c/2024-12-13/doc-inczhpkc6150948.shtml,12-13 10:40
【媒体聚焦•黑龙江日报】赋能添智 北大荒打造智慧农业“新引擎”,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6027087.shtml,12-13 10:40
今年我国经济社会发展主要目标任务将顺利完成,https://finance.sina.com.cn/stock/wbstock/2024-12-13/doc-inczhtrz6033633.shtml,12-13 10:39
英特尔高管承认或被迫出售芯片制造业务,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-13/doc-inczhpkc6149344.shtml,12-13 10:38
尚品宅配与纾兰定制床垫达成战略合作，融合共建家居消费新场景,https://finance.sina.com.cn/stock/enterprise/cn/2024-12-13/doc-inczhpiz9370826.shtml,12-13 10:37
抢国补享盛惠！西安尚品宅配20店联动，开启店厂直补年终狂欢,https://finance.sina.com.cn/stock/enterprise/cn/2024-12-13/doc-inczhpiz9370455.shtml,12-13 10:37
老铺黄金早盘涨超3% 股价续创上市新高,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-13/doc-inczhpix2999725.shtml,12-13 10:35
国债期货30年期主力合约涨幅扩大至0.62%,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhpkc6146842.shtml,12-13 10:35
南方基金：强化使命担当，积极助力国家养老战略,https://finance.sina.com.cn/money/fund/jjh/2024-12-13/doc-inczhpiz9369079.shtml,12-13 10:33
屠光绍：绿色投资要提升三个比重 促进可持续发展,https://finance.sina.com.cn/meeting/2024-12-13/doc-inczhpkc6145864.shtml,12-13 10:33
煤炭股震荡走低，安泰集团跌超6%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-13/doc-inczhpkc6145571.shtml,12-13 10:31
“金表第一股”成色几何？ 产品销量走低、经销商依赖症不减 西普尼估值增长滞缓,https://finance.sina.com.cn/stock/observe/2024-12-13/doc-inczhpiz9368118.shtml,12-13 10:31
“学习胖东来”第23家调改店开业，“爆改”流量背后永辉超市能否翻身？,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhpkc6145153.shtml,12-13 10:30
一地重磅官宣：取消公摊！已有多地提出↗,https://finance.sina.com.cn/roll/2024-12-13/doc-inczhtrz6023910.shtml,12-13 10:28
杭州等热点城市也开始卷“得房率”，新房市场未来优势更明显,https://finance.sina.com.cn/jjxw/2024-12-13/doc-inczhpiz9367984.shtml,12-13 10:28
